index,index at directory,label,link,category,date of publication,veracity,falsity
0,803-meta.txt,0,https://www.diariodobrasil.org/mae-de-geddel-defende-o-filho-ele-e-doente-nao-dona-marluce-ele-e-pilantra-mesmo/,politica,08/09/2017,0.017106868859979325,0.9828931311400205
1,1907-meta.txt,0,https://www.diariodobrasil.org/a-fila-anda-angelina-jolie-engata-romance-com-johnny-depp/,sociedade_cotidiano,26/11/2016,0.021398611416426568,0.9786013885835734
2,2202-meta.txt,0,https://www.diariodobrasil.org/cvm-aponta-um-desvio-de-r-50-bilhoes-em-fundos-de-pensao/,politica,05/09/2016,0.04725200115941987,0.9527479988405801
3,2207-meta.txt,0,https://www.diariodobrasil.org/rr-soares-igreja-nao-tem-que-pagar-imposto-isso-e-coisa-demoniaca-viva-eduardo-cunha/,tv_celebridades,05/09/2016,0.00011418354818338278,0.9998858164518165
4,3121-meta.txt,0,https://www.diariodobrasil.org/pf-vasculha-forro-do-instituto-lula-e-apreende-celulares-pen-drives-e-computadores/,politica,07/03/2016,0.03034254287316416,0.9696574571268357
5,51-meta.txt,0,https://afolhabrasil.com.br/politica/bolsonaro-esta-na-mira-de-presidenciaveis-e-mesmo-assim-so-cresce-nas-pesquisas/,politica,2017-07-03,0.5249360474680673,0.4750639525319327
6,2937-meta.txt,0,https://www.diariodobrasil.org/deputado-detona-eduardo-cunha-bandido-ladrao-cachorro-deveria-estar-preso-em-curitiba/,politica,17/04/2016,0.009170567983116149,0.9908294320168839
7,3153-meta.txt,0,https://www.diariodobrasil.org/a-saida-de-cardozo-revela-a-manobra-sabotadora-que-o-governo-queria-fazer-contra-a-pf-e-nao-conseguiu/,politica,29/02/2016,0.027024156965386348,0.9729758430346137
8,831-meta.txt,0,https://www.diariodobrasil.org/japao-inicia-plano-de-evacuacao-de-60-mil-cidadaos-da-peninsula-coreana/,sociedade_cotidiano,05/09/2017,6.372737764127117e-07,0.9999993627262236
9,1748-meta.txt,0,https://www.diariodobrasil.org/delacao-da-odebrecht-cita-os-nomes-de-jose-serra-e-michel-temer-serra-teria-recebido-r-23-milhoes-em-propina07/,politica,07/01/2017,0.12831884228617885,0.8716811577138213
10,3250-meta.txt,0,https://www.diariodobrasil.org/dilma-faz-descoberta-cientifica-enquanto-o-mosquito-da-dengue-se-reproduzir-estamos-perdendo-a-luta/,tv_celebridades,29/01/2016,0.015160097391385189,0.9848399026086148
11,205-meta.txt,0,http://www.thejornalbrasil.com.br/2017/02/apos-morte-de-marisa-lula-diz-nao-vou.html,politica,2017-02-11,0.041432322331610975,0.958567677668389
